Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debtor Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity
2014,Verizon Communications ,Telecommunication,190.2,127079,77148,9625,2.42,36132,13676,30631,-15856,-57705,1.054,8.2825,87.4232,5.1398,9.6255,7.574,-4.3533,-12.8624
2013,Verizon Communications ,Telecommunication,140.92,120550,75663,11497,4,48574,95416,38818,-14833,26450,2.6245,0.9809,24.6783,8.5907,12.723,9.5371,2.3795,-218.7366
2012,Verizon Communications ,Telecommunication,126.96,115846,69571,875,0.31,29620,85533,31486,-20502,-21253,0.7878,0.6078,12.3426,4.6874,7.9286,0.7553,0.5819,-47.3769
2011,Verizon Communications ,Telecommunication,113.66,110875,65000,2404,0.85,29376,85908,29780,-17250,-5836,1.0058,0.642,11.8708,4.425,7.4869,2.1682,-1.1993,-61.519
2010,Verizon Communications ,Telecommunication,101.26,106565,62416,2549,0.9,31050,86912,33363,-15054,-13650,0.7304,0.6074,11.7556,4.644,7.7305,2.392,0.857,-73.493
2009,Verizon Communications ,Telecommunication,94.12,107808,63229,4894,1.72,32512,84143,31390,-23156,-16007,0.7463,0.7399,13.7872,5.1127,8.3344,4.5396,5.1102,-67.6049
2022,Verizon Communications ,Telecommunication,165.56,136835,77702,21256,5.06,47566,92463,37141,-28662,-8529,0.7546,1.6292,23.5208,5.728,9.3283,15.534,-1.2963,-22.3137
2021,Verizon Communications ,Telecommunication,213.53,133613,77312,22065,5.32,48654,83200,39539,-67153,8277,0.7788,1.8133,27.1851,6.1697,9.9804,16.5141,-1.0526,-21.6029
2020,Verizon Communications ,Telecommunication,243.23,128292,77091,17801,4.3,45518,69272,41768,-23512,1325,1.3766,1.8631,26.4869,5.7975,9.5342,13.8754,1.3907,-28.7663
2019,Verizon Communications ,Telecommunication,250,131868,77142,19265,4.65,47060,62835,35746,-17581,-18164,0.8352,1.7743,31.492,6.7831,12.0993,14.6093,0.0222,-29.9315
2018,Verizon Communications ,Telecommunication,228.15,130863,75355,15528,3.76,39681,54710,34339,-17934,-15377,0.9132,1.662,29.3164,6.0564,11.3446,11.8658,2.5497,-21.7304
2017,Verizon Communications ,Telecommunication,216.23,126034,72971,30101,7.36,44379,44687,24318,-18456,-6151,0.9054,2.6203,68.3644,11.8806,19.2953,23.8832,0.5962,-36.7413
2016,Verizon Communications ,Telecommunication,219.01,125980,73279,13127,3.21,45177,24032,21689,-9874,-13376,0.87,4.4973,56.6245,5.5729,10.511,10.4199,-4.0592,-13.7812
2015,Verizon Communications ,Telecommunication,188.81,131620,79063,17879,4.37,49077,17842,39027,-30043,-15112,0.6378,6.15,102.9873,7.5253,15.1757,13.5838,1.8163,-18.0757
2014,Verizon Communications ,Telecommunication,190.2,127079,77148,9625,2.42,36132,13676,30631,-15856,-57705,1.054,8.2825,87.4232,5.1398,9.6255,7.574,-4.3533,-12.8624
2013,Verizon Communications ,Telecommunication,140.92,120550,75663,11497,4,48574,95416,38818,-14833,26450,2.6245,0.9809,24.6783,8.5907,12.723,9.5371,2.3795,-218.7366
2012,Verizon Communications ,Telecommunication,126.96,115846,69571,875,0.31,29620,85533,31486,-20502,-21253,0.7878,0.6078,12.3426,4.6874,7.9286,0.7553,0.5819,-47.3769
2011,Verizon Communications ,Telecommunication,113.66,110875,65000,2404,0.85,29376,85908,29780,-17250,-5836,1.0058,0.642,11.8708,4.425,7.4869,2.1682,-1.1993,-61.519
2010,Verizon Communications ,Telecommunication,101.26,106565,62416,2549,0.9,31050,86912,33363,-15054,-13650,0.7304,0.6074,11.7556,4.644,7.7305,2.392,0.857,-73.493
2009,Verizon Communications ,Telecommunication,94.12,107808,63229,4894,1.72,32512,84143,31390,-23156,-16007,0.7463,0.7399,13.7872,5.1127,8.3344,4.5396,5.1102,-67.6049
2022,AT&T,Telecommunication,131.92,120741,69893,-8064,-1.13,13434,106457,35812,-26899,-59564,0.5894,1.2777,-6.4571,-1.7063,-2.9266,-6.6788,-0.7488,7.5635
2021,AT&T,Telecommunication,178.27,134038,73631,19874,2.73,43749,183855,37170,-32489,1894,1.6075,0.962,12.9319,4.3102,7.1002,14.8271,-0.1708,-84.594
2020,AT&T,Telecommunication,205.68,143050,77399,-5369,-0.75,30895,179240,37484,-13447,-31031,0.8198,0.8773,-0.8491,-0.2895,-0.457,-3.7532,-0.8981,1.719
2019,AT&T,Telecommunication,287.2,181193,97052,13900,1.89,65759,201934,48668,-16690,-25083,0.7947,0.8079,7.4158,2.7145,4.2393,7.6714,0.6671,-17.2963
2018,AT&T,Telecommunication,192.9,170756,91337,19370,2.85,58298,193884,43602,-63145,-25989,0.7983,0.9104,10.2912,3.7515,5.5404,11.3437,0.4758,-20.105
2017,AT&T,Telecommunication,239.05,160546,82736,29450,4.76,44357,142007,38010,-18943,25930,0.9724,1.1573,21.018,6.7208,11.1378,18.3437,0.0733,-38.4042
2016,AT&T,Telecommunication,257.02,163786,86596,12976,2.1,49390,124110,38442,-23318,-14462,0.7586,0.9952,10.7429,3.3017,5.607,7.9225,-0.2162,-13.6111
2015,AT&T,Telecommunication,193.66,146801,79755,13345,2.37,46801,123640,35880,-49144,9782,0.7527,1.0203,11.07,3.399,5.6522,9.0905,1.0091,-13.4664
2014,AT&T,Telecommunication,177.85,132447,72302,6442,1.24,30485,90270,31338,-18337,-7737,0.9014,0.9065,7.4621,2.2693,4.0567,4.8638,-0.6303,-14.5219
2013,AT&T,Telecommunication,188.85,128752,77561,18418,3.42,49147,91482,34796,-23124,-13201,0.6628,0.8175,20.4652,6.7397,11.6451,14.305,-0.8139,-46.8015
2012,AT&T,Telecommunication,195.32,127434,72206,7264,1.25,31140,92695,39176,-19680,-17673,0.7143,0.7535,8.1331,2.7685,4.7399,5.7002,0.9269,-21.0275
2011,AT&T,Telecommunication,179.26,126723,71819,3944,0.66,30505,105797,34743,-21250,-11649,0.744,0.612,3.9547,1.5471,2.5039,3.1123,-0.1833,-17.156
2010,AT&T,Telecommunication,173.72,124280,74023,19864,3.35,39037,111950,35222,-21449,-15849,0.5983,0.591,17.3292,7.2014,11.3503,15.9833,-0.3707,-87.5017
2009,AT&T,Telecommunication,165.79,122513,71874,12138,2.05,40515,101989,34405,-17883,-14508,0.6816,0.7068,12.1847,4.6315,7.4543,9.9075,3.0133,-38.3301
2022,TD ,Bank,119.91,48713.91,38088.06,13337.66,7.354,,86522.31,30255.58,-24776.04,-3743.399,0.877074271,1.6417,16.4155,0.8572,13.3999,35.7969,-5.3498,17.98
2021,TD ,Bank,136.45,38288.13,33953.74,11173.17,6.138,,79385.26,39867.59,-36001.64,-4005.131,0.90966009,1.9702,14.356,0.7817,12.1686,33.0806,-73.1938,16.5879
2020,TD ,Bank,101.74,39934.04,32468.26,8650.069,4.7833,,71041.7,172425.6,-166719.2,-4559.363,0.889767391,2.4552,11.9773,0.6272,10.0602,31.9416,94.8187,14.1185
2019,TD ,Bank,102.01,44491.67,30897.3,8589.398,4.7,,65986.23,203.9004,4142.714,-4252.565,0.91240686,2.0178,12.8121,0.7415,10.6618,30.0137,-2.3723,15.3821
2018,TD ,Bank,90.78,41199.51,30177.9,8585.4,4.6781,,62199.09,4424.03,1203.728,-5072.132,0.914333145,2.9248,14.1125,0.7934,11.9295,30.3901,-12.0459,17.3496
2017,TD ,Bank,102.75,34527.51,27653.99,7805.295,4.2075,,57520.35,26675.55,-51492.91,24938.23,0.90326607,2.6411,14.2916,0.7872,11.4478,30.0681,-3.3985,17.846
2016,TD ,Bank,92.46,30890.09,25883.8,6547.324,3.523,,55979.62,33283.49,-18836.38,-13917.59,0.878138516,2.0934,12.1786,0.7225,9.9912,27.1377,2.6918,15.4845
2015,TD ,Bank,72.63,30247.71,25326.78,6296.637,3.3961,,54019.07,28427.15,-37940.2,9603.319,0.898905243,2.4945,11.887,0.6924,10.1064,26.2684,2.4052,15.9246
2014,TD ,Bank,87.53,31463.04,25637.99,7238.17,3.63,,51631.3,23842.89,-30736.74,6027.98,0.994295346,0.9492,14.1961,0.8119,11.9818,24.6405,-20.412,19.5083
2013,TD ,Bank,85.45,33434.85,27019.12,6537.42,6.48,,51001.1,31102.3,-19722.16,-11274.15,1.009762436,0.8157,14.0823,0.7931,11.4101,22.5907,25.7232,18.9065
2012,TD ,Bank,77.29,30203.56,23022.59,6443.17,3.405,,48815.18,13985.6,-24384.69,10733.64,1.031590808,1.1699,15.4718,0.8699,11.6928,25.2143,7.7987,20.4531
2011,TD ,Bank,66.32,27605.83,21898.49,5972.03,3.145,,47545.06,-769.7,-49162.55,50500.15,0.857333076,0.7955,13.9147,0.881,10.327,25.6791,-1.9742,19.865
2010,TD ,Bank,63.8,24465.2,18834.51,4474.49,2.495,,41318.73,3130.41,-41223.34,38327.06,0.842426533,1.0654,13.6483,0.8571,9.5868,22.2937,-10.6619,20.1669
2009,TD ,Bank,53.53,20289.58,13797.72,2678.83,1.66,,34583.54,21158.47,-31434.2,10486.08,0.991823744,0.7164,14.3438,0.9495,10.0463,15.9159,12.0306,23.288
2022,RBC,Bank,130.49,52075.89,38051.55,12076.91,8.589,,84030.34,17044.54,-44319.55,-1697.308,0.877074271,2.7903,15.6727,0.8245,13.3731,32.055,-22.2842,17.5995
2021,RBC,Bank,148.34,45996.97,39520.84,12550.63,8.796,,78545.42,48548.29,-45608.86,-4714.539,0.90966009,2.9532,17.4309,0.9406,14.8124,31.283,-38.0559,19.2361
2020,RBC,Bank,117.14,45548.25,35097.94,8304.899,5.8173,,64545.97,103267.5,-29426.45,-5762.25,0.889767391,3.4888,14.1509,0.704,11.8354,26.0658,64.5489,16.1738
2019,RBC,Bank,113.14,50851.71,34611.91,9675.864,6.716,,62919.45,10732.99,-8371.202,-5610.647,0.91240686,3.0433,16.5187,0.9007,13.7746,29.1359,-1.9489,19.0076
2018,RBC,Bank,97.95,44610.2,33085.81,9414.566,6.497,,62133.03,13579.04,-6230.788,-5999.212,0.914333145,2.8967,16.8794,0.9313,13.9539,29.3562,-10.5574,19.3838
2017,RBC,Bank,118.54,38581.25,31111.79,8512.92,5.783,,56937.42,28859.63,-11825.37,-6618.015,0.90326607,2.2681,16.8625,0.9456,13.7037,28.1586,5.6223,19.4574
2016,RBC,Bank,101.86,34943.7,28968.89,7626.728,5.1142,,54016.93,20257.48,-16161.63,-2363.976,0.878138516,1.7601,16.1143,0.8861,12.8518,27.4316,0.4187,18.7393
2015,RBC,Bank,79.22,34878.55,28465.2,7844.63,5.424,,51532.47,19461.68,-20262.74,-3570.137,0.898905243,1.628,17.0377,0.9333,14.0605,28.442,4.0052,19.3399
2014,RBC,Bank,99.22,38574.5,31317.98,8267.47,5.28,,50044.65,13932.76,-7544.84,-4851.76,0.994295346,1.3245,17.1965,0.922,13.9056,24.9156,4.6067,20.1292
2013,RBC,Bank,96.07,38041.07,30289.79,8271.37,5.2,,49393.73,7106.57,357.19,-4365.8,1.009762436,1.3481,17.3483,0.9217,13.7323,25.4468,4.7202,20.2517
2012,RBC,Bank,88,32920.83,24602.76,7506.58,4.96,,45830.07,-2065.08,3748.81,-4181.94,1.031590808,2.4421,18.6897,0.9336,14.3597,23.4794,1.7841,21.4824
2011,RBC,Bank,72.22,32846.7,24409.4,4920.41,3.14,,44263.43,10483.76,-33400.39,29585.35,0.857333076,1.2357,16.5858,0.8569,12.532,15.904,-9.1607,19.0396
2010,RBC,Bank,74.41,29789.5,22374.42,5032.36,3.42,,39702.94,10881.76,-49691.54,39912.98,0.842426533,1.1712,15.0357,0.7535,11.4269,16.8838,2.7937,17.5314
2009,RBC,Bank,79.24,27933.69,20174.53,3312.47,2.44,,34663.39,6356.21,13667.19,-22137.28,0.991823744,1.0307,15.6885,0.8517,11.9119,12.294,4.0756,18.6135
2022,Nova Scotia,Bank,58.21,36400.07,24403.95,7500.781,6.21,,58065.02,3850.598,-22893.07,12413.26,1.053717782,2.3414,20.913,1.1883,17.0948,39.8419,-48.5346,21.298
2021,Nova Scotia,Bank,81.96,31237,24854.71,7468.662,6.1238,,57971.01,35032.17,-237.7947,-4073.527,1.080130598,2.6171,14.9216,0.7847,12.0374,27.6449,-5.0187,15.5456
2020,Nova Scotia,Bank,64.83,32529.26,23310.85,4896.35,3.943,,52447.18,37816.9,-23785.46,-7665.146,1.045972152,2.4728,10.195,0.5369,7.8405,21.8144,24.5626,10.7044
2019,Nova Scotia,Bank,128.14,35092.69,23349.98,6175.699,5.026,,52812.46,22047.58,-14731.99,-1965.269,1.057458698,2.8095,12.5919,0.6757,9.9154,22.5387,12.6798,13.6084
2018,Nova Scotia,Bank,61.77,31589.89,22361.05,6497.333,5.2998,,52594.13,13921.21,-8808.008,2127.196,1.059603235,2.643,13.1684,0.7041,10.3792,24.3575,18.1334,14.6971
2017,Nova Scotia,Bank,77.58,27575.95,20773.57,6025.14,4.9649,,47143.13,2221.793,-2410.508,1525,1.061290384,2.2965,13.337,0.754,10.8337,24.0343,6.5287,14.8814
2016,Nova Scotia,Bank,67.32,25846.84,19875.8,5270.294,4.352,,43614.38,-2074.081,-11656.82,6117.323,1.06049704,1.9676,12.0323,0.6732,9.9023,22.06,-6.156,13.7138
2015,Nova Scotia,Bank,48.5,25180.1,19381.52,5558.417,4.512,,43099.69,1880.207,3244.626,53.1906,1.102215953,1.9252,11.0365,0.6863,9.9371,22.6501,7.3293,13.924
2014,Nova Scotia,Bank,67.75,28316.36,21673.2,6701.02,4.98,,45185.54,-2687.57,3023.63,-426.96,1.017666308,1.26,12.9737,0.7133,10.4145,23.5068,-21.3509,14.9963
2013,Nova Scotia,Bank,73.17,28260.45,20943.89,6571.76,4.83,,45680.49,11219.2,-1902.74,-4741.64,1.060998039,1.0444,13.8173,0.7513,11.3788,23.3176,1.9837,15.4918
2012,Nova Scotia,Bank,68.22,26365.14,19244.9,6438.19,5.24,,41201.07,10213.89,-7434.89,-2028.24,1.034290472,1.4566,14.7051,0.7731,11.8839,22.7799,14.8365,16.3662
2011,Nova Scotia,Bank,53.49,27106.89,17531.76,5342.27,4.54,,33870.94,580.06,-12948.02,13950.97,0.967862694,1.5827,12.5869,0.666,9.4999,21.9004,11.9634,13.8392
2010,Nova Scotia,Bank,57.32,23775,15505,4239,3.86,,27631,-6343.68,-6771.47,20836.65,0.998608118,2.3257,15.0537,0.7061,11.3296,21.4651,-32.0392,14.9454
2009,Nova Scotia,Bank,47.03,25064,14457,3547,3.13,,24772,10984.92,-9148.38,-54.09,0.960474933,2.5027,10.9702,0.4978,7.9139,14.8594,19.9596,10.7614
2022,CIBC,Bank,37.16,34740.05,26185.93,10336.1,15.527,,55182.32,3850.598,-22893.07,12413.26,1.044905756,2.3414,20.913,1.1883,17.0948,39.8419,-48.5346,21.298
2021,CIBC,Bank,52.26,26056.41,21621.03,5972.703,9.208,,45748.04,35032.17,-237.7947,-4073.527,1.030352657,2.6171,14.9216,0.7847,12.0374,27.6449,-5.0187,15.5456
2020,CIBC,Bank,39.05,25686.87,18735.87,3607.915,5.6164,,42099.53,37816.9,-23785.46,-7665.146,1.038236255,2.4728,10.195,0.5369,7.8405,21.8144,24.5626,10.7044
2019,CIBC,Bank,36.97,29153.24,19173.41,4173.563,6.5158,,38429.58,22047.58,-14731.99,-1965.269,0.920755677,2.8095,12.5919,0.6757,9.9154,22.5387,12.6798,13.6084
2018,CIBC,Bank,32.92,25006.41,17904.36,4235.74,6.3497,,35539.02,13921.21,-8808.008,2127.196,0.927349186,2.643,13.1684,0.7041,10.3792,24.3575,18.1334,14.6971
2017,CIBC,Bank,42.97,21485.79,17028.9,3945.44,6.0511,,33887.7,2221.793,-2410.508,1525,0.96033191,2.2965,13.337,0.754,10.8337,24.0343,6.5287,14.8814
2016,CIBC,Bank,32.58,19398.33,15905.92,3400.033,5.2612,,32181.71,-2074.081,-11656.82,6117.323,0.958528049,1.9676,12.0323,0.6732,9.9023,22.06,-6.156,13.7138
2015,CIBC,Bank,26.67,19167.95,15625.94,3427.569,5.2963,,32166.61,1880.207,3244.626,53.1906,0.976504112,1.9252,11.0365,0.6863,9.9371,22.6501,7.3293,13.924
2014,CIBC,Bank,33.98,19555.82,15350.47,3978.56,5.62,,32507.95,-2687.57,3023.63,-426.96,1.180001356,1.26,12.9737,0.7133,10.4145,23.5068,-21.3509,14.9963
2013,CIBC,Bank,33.37,20461.08,15958.88,4168.56,5.88,,30892.3,11219.2,-1902.74,-4741.64,1.177069707,1.0444,13.8173,0.7513,11.3788,23.3176,1.9837,15.4918
2012,CIBC,Bank,32.26,18969.08,14152.89,4170.98,6.19,,29960.61,10213.89,-7434.89,-2028.24,1.225961725,1.4566,14.7051,0.7731,11.8839,22.7799,14.8365,16.3662
2011,CIBC,Bank,28.58,16213.43,12323.36,3312.05,5.18,,28519.53,580.06,-12948.02,13950.97,0.870520351,1.5827,12.5869,0.666,9.4999,21.9004,11.9634,13.8392
2010,CIBC,Bank,30.49,14888.96,11764.34,2707.43,4.72,,21081.38,-6343.68,-6771.47,20836.65,0.901859613,2.3257,15.0537,0.7061,11.3296,21.4651,-32.0392,14.9454
2009,CIBC,Bank,25.86,13803.7,9508.131,1534.31,2.87,,17341.14,10984.92,-9148.38,-54.09,0.807907223,2.5027,10.9702,0.4978,7.9139,14.8594,19.9596,10.7614
2022,BMO,Bank,62.42,34740.05,26185.93,10336.1,15.527,,55182.32,3850.598,-22893.07,12413.26,0.999622677,2.3414,20.913,1.1883,17.0948,39.8419,-48.5346,21.298
2021,BMO,Bank,68.67,26056.41,21621.03,5972.703,9.208,,45748.04,35032.17,-237.7947,-4073.527,0.991645984,2.6171,14.9216,0.7847,12.0374,27.6449,-5.0187,15.5456
2020,BMO,Bank,49.07,25686.87,18735.87,3607.915,5.6164,,42099.53,37816.9,-23785.46,-7665.146,0.975847409,2.4728,10.195,0.5369,7.8405,21.8144,24.5626,10.7044
2019,BMO,Bank,49.53,29153.24,19173.41,4173.563,6.5158,,38429.58,22047.58,-14731.99,-1965.269,1.019702178,2.8095,12.5919,0.6757,9.9154,22.5387,12.6798,13.6084
2018,BMO,Bank,41.57,25006.41,17904.36,4235.74,6.3497,,35539.02,13921.21,-8808.008,2127.196,1.171490199,2.643,13.1684,0.7041,10.3792,24.3575,18.1334,14.6971
2017,BMO,Bank,-24.43,21485.79,17028.9,3945.44,6.0511,,33887.7,2221.793,-2410.508,1525,1.069027742,2.2965,13.337,0.754,10.8337,24.0343,6.5287,14.8814
2016,BMO,Bank,46.53,19398.33,15905.92,3400.033,5.2612,,32181.71,-2074.081,-11656.82,6117.323,1.0831611,1.9676,12.0323,0.6732,9.9023,22.06,-6.156,13.7138
2015,BMO,Bank,37.6,19167.95,15625.94,3427.569,5.2963,,32166.61,1880.207,3244.626,53.1906,1.097674559,1.9252,11.0365,0.6863,9.9371,22.6501,7.3293,13.924
2014,BMO,Bank,43.77,19555.82,15350.47,3978.56,5.62,,32507.95,-2687.57,3023.63,-426.96,0.986110227,1.26,12.9737,0.7133,10.4145,23.5068,-21.3509,14.9963
2013,BMO,Bank,42.64,20461.08,15958.88,4168.56,5.88,,30892.3,11219.2,-1902.74,-4741.64,0.976910503,1.0444,13.8173,0.7513,11.3788,23.3176,1.9837,15.4918
2012,BMO,Bank,40.68,18969.08,14152.89,4170.98,6.19,,29960.61,10213.89,-7434.89,-2028.24,0.98480303,1.4566,14.7051,0.7731,11.8839,22.7799,14.8365,16.3662
2011,BMO,Bank,35.56,16213.43,12323.36,3312.05,5.18,,28519.53,580.06,-12948.02,13950.97,0.920037375,1.5827,12.5869,0.666,9.4999,21.9004,11.9634,13.8392
2010,BMO,Bank,34.71,14888.96,11764.34,2707.43,4.72,,21081.38,-6343.68,-6771.47,20836.65,0.788558255,2.3257,15.0537,0.7061,11.3296,21.4651,-32.0392,14.9454
2009,BMO,Bank,28.08,13803.7,9508.131,1534.31,2.87,,17341.14,10984.92,-9148.38,-54.09,0.844239649,2.5027,10.9702,0.4978,7.9139,14.8594,19.9596,10.7614
2022,JP morgon,Financial Services,389.35,34740.05,26185.93,10336.1,15.527,,292332,107119,-137819,-126257,0.8410404,2.4646,14.2212,1.0278,6.4053,29.3461,10.2677,16.2766
2021,JP morgon,Financial Services,478.45,26056.41,21621.03,5972.703,9.208,,294127,78084,-129344,275993,0.828637993,2.4263,18.641,1.2911,8.1216,35.5242,51.6819,20.3566
2020,JP morgon,Financial Services,386.53,25686.87,18735.87,3607.915,5.6164,,279354,-79910,-261912,596645,0.85599685,2.5498,11.6855,0.8607,5.1923,26.749,-27.1493,12.894
2019,JP morgon,Financial Services,428.27,29153.24,19173.41,4173.563,6.5158,,261330,4092,-52059,32987,0.916437774,2.4313,15.5464,1.3556,6.5899,31.4541,-3.3068,17.5158
2018,JP morgon,Financial Services,340.62,25006.41,17904.36,4235.74,6.3497,,256515,15614,-199420,34158,0.997411986,2.6447,14.0917,1.2383,6.0299,29.5529,7.6005,16.063
2017,JP morgon,Financial Services,381.62,21485.79,17028.9,3945.44,6.0511,,255693,-10827,28249,14642,1.014557773,2.4188,10.6439,0.9647,4.528,23.6514,-8.9576,12.1415
2016,JP morgon,Financial Services,318.5,19398.33,15905.92,3400.033,5.2612,,254190,21884,-89202,98271,1.011858669,2.4864,10.842,0.9929,4.5015,25.0351,-13.5378,12.37
2015,JP morgon,Financial Services,249.16,19167.95,15625.94,3427.569,5.2963,,247573,73466,106980,-187511,1.019844906,2.4433,11.0345,1.0393,4.3856,25.2475,9.8323,12.6889
2014,JP morgon,Financial Services,235.41,19555.82,15350.47,3978.56,5.62,,231727,36593,-165636,118228,0.979160043,3.0979,10.2734,0.8454,4.0394,21.8292,-18.6616,12.3937
2013,JP morgon,Financial Services,222.16,20461.08,15958.88,4168.56,5.88,,211178,107953,-150501,28324,0.949922297,3.1852,8.9421,0.7404,3.5274,17.0441,21.7363,11.7776
2012,JP morgon,Financial Services,173.19,18969.08,14152.89,4170.98,6.19,,204069,25079,-119825,87707,0.933065965,3.4451,10.9143,0.9022,4.4367,21.2257,-17.9092,14.5736
2011,JP morgon,Financial Services,130.94,16213.43,12323.36,3312.05,5.18,,183573,95932,-170752,107706,0.910327074,3.7344,10.7957,0.8375,4.1051,19.594,25.414,15.1863
2010,JP morgon,Financial Services,167.83,14888.96,11764.34,2707.43,4.72,,176106,-3752,54002,-49217,0.957419211,4.3335,10.3205,0.8203,3.6106,18.3185,-32.5946,15.8538
2009,JP morgon,Financial Services,161.81,13803.7,9508.131,1534.31,2.87,,165365,122797,29355,-153079,0.89270542,4.5375,7.4116,0.5734,2.3905,12.8239,31.6512,12.0302
2022,Costco,Retail ,202.63,226954,27572,5844,13.14,9693,20647,7392,-3915,-4283,1.0218,0.3176,28.6482,9.2183,21.8016,2.575,-4.2135,28.6482
2021,Costco,Retail ,251.84,195929,25245,5007,11.27,8489,18078,8958,-3535,-6488,1.0022,0.4144,28.0949,8.5695,20.5046,2.5555,-1.5462,28.0949
2020,Costco,Retail ,166.96,166761,21822,4002,9.02,7080,18705,8861,-3891,-1147,1.1319,0.4068,21.7001,7.3061,15.4811,2.3998,6.0499,21.7001
2019,Costco,Retail ,128.95,152703,19817,3659,8.26,6229,15584,6356,-2865,-1147,1.0107,0.4378,23.768,8.1586,17.8868,2.3962,1.233,23.768
2018,Costco,Retail ,85.64,141576,18424,3134,7.09,5917,13103,5774,-2947,-1281,1.0182,0.5019,24.2616,7.7859,16.2277,2.2137,-3.2311,24.2616
2017,Costco,Retail ,81.93,129025,17143,2679,6.08,5481,11079,6726,-2366,-3218,0.9898,0.5933,24.4968,7.4669,15.375,2.0763,8.1224,24.4968
2016,Costco,Retail ,70.13,118719,15818,2350,5.33,4927,12332,3292,-2345,-2419,0.9771,0.4185,19.267,7.1646,14.494,1.9795,-2.8164,19.267
2015,Costco,Retail ,69.33,116199,15134,2377,5.37,4751,10843,4285,-2480,-2324,1.0145,0.5658,22.2171,7.2962,15.3488,2.0456,-0.226,22.2171
2014,Costco,Retail ,63.17,112640,14182,2058,4.65,4249,12515,3984,-2093,-786,1.2204,0.407,16.684,6.3227,11.8583,1.8271,1.4259,16.684
2013,Costco,Retail ,53.68,105156,13208,2039,4.63,3999,11012,3437,-2251,44,1.1948,0.4539,18.716,6.8058,12.8732,1.939,-0.5155,18.716
2012,Costco,Retail ,42.28,99137,12314,1709,3.89,3667,12518,3057,-1236,-2281,1.1033,0.1103,14.1157,6.5107,12.7131,1.7239,-0.7169,14.1157
2011,Costco,Retail ,36.66,88915,11176,1462,3.3,3294,12573,3198,-1180,-1277,1.1374,0.1712,12.2644,5.7621,11.1529,1.6443,0.4292,12.2644
2010,Costco,Retail ,31.37,77946,9951,1303,2.92,2872,10930,2780,-2015,-719,1.1635,0.1983,12.1043,5.5553,10.1216,1.6717,1.9493,12.1043
2009,Costco,Retail ,26.56,71422,9087,1086,2.47,2505,10104,2092,-1101,-439,1.1138,0.2203,10.8769,5.0002,8.9832,1.5205,1.9276,10.8769
2022,Ebay,E-Commerce,22.41,9795,7115,-1269,-2.27,2792,5153,2254,2461,-3792,2.1751,1.7215,-24.7235,-6.1103,,-12.9556,-0.1031,-142.9854
2021,Ebay,E-Commerce,43.36,10420,7770,13608,20.54,3425,9778,2657,3663,-6532,1.9712,0.9288,2.5772,0.9464,,130.595,0.6137,4.5
2020,Ebay,E-Commerce,35.68,8894,7097,5667,7.89,3219,3561,2419,3794,-5692,1.7966,2.1752,69.8399,12.8793,,63.7171,-0.3202,-337.9076
2019,Ebay,E-Commerce,30.62,7429,5844,1786,2.09,2370,2870,3114,2787,-7091,1.1574,2.8094,49.9303,7.8849,,24.0409,0.9909,-84.1951
2018,Ebay,E-Commerce,28.33,8650,6627,2530,2.55,2387,6281,2658,2894,-5398,1.5999,1.4697,33.88,9.3256,,29.2486,-0.2773,206.8027
2017,Ebay,E-Commerce,40.18,9927,7706,-1017,-0.95,2940,8049,3146,-1295,-1784,2.1759,1.2443,-12.5854,-3.8983,,-10.2448,0.4077,-31.5872
2016,Ebay,E-Commerce,33.75,9298,7294,7266,6.35,3007,10539,2826,-2017,-744,2.307,0.8502,69.1242,30.5489,,78.1458,-0.8351,122.7257
2015,Ebay,E-Commerce,32.73,8592,6821,1725,1.42,2884,6576,4033,-3611,-4554,3.4927,1.0263,29.6077,10.9659,,20.0768,-1.2826,95.6757
2014,Ebay,E-Commerce,70.16,8790,7127,46,0.04,3158,19906,5677,-2673,-1022,1.5134,0.3832,-4.3454,-1.9166,,0.5233,0.7529,-5.7277
2013,Ebay,E-Commerce,70.16,8257,6765,2856,2.18,3114,23647,4995,-6012,-1354,1.8422,0.1744,8.7411,4.9822,,34.5888,1.3222,15.3806
2012,Ebay,E-Commerce,66.45,14072,9856,2609,1.99,4088,20865,3838,-3763,1951,1.9588,0.2166,12.5042,7.0373,,18.5404,0.2056,23.2946
2011,Ebay,E-Commerce,39.22,11652,8191,3229,2.46,3313,17930,3274,-3307,-838,1.8802,0.1166,18.0089,11.8192,,27.712,0.2364,39.5759
2010,Ebay,E-Commerce,38.94,9156,6592,1801,1.36,2816,15302.18,2746,-2284,1235,2.45,0.1173,11.7696,8.185,,19.6702,-0.2702,21.0193
2009,Ebay,E-Commerce,29.24,8727.362,6247.601,2389.097,1.83,2267.712,13787.65,2908.086,-1149.383,-945.656,2.323,,17.3278,12.9784,,27.3748,1.7939,34.7417
2022,Walmart,Retail ,386.24,572754,143754,13673,4.87,36600,91891,24181,-6015,-22828,0.9278,0.4661,15.1702,5.693,10.6414,2.3872,-5.0524,22.1703
